stars,comment
"5,0 su 5 stelle","







  
  
    Prodotto a mio avviso eccezionale. È proprio l'espressione qualità/prezzo che prende forma! Ad un costo molto basso troviamo un display colorato, vivo acceso e visibile anche sotto luce solare con una risoluzione FullHD.  Il processore con i suoi 3GB di Ram è sempre scattante e fluido che permette di avere più app aperte e passare una dall'altra senza tempi di attesa.Altra nota estremamente positiva è il suono, bello alto, forte, adatto anche per la visione di contenuti all'aperto.Peccato per la mancanza di cuffie in dotazione. Per il resto nulla da eccepire, bello esteticamente e soddisfacente nelle prestazioni!Dimenticavo.......la banda 5Ghz è presente e su questa fascia di prezzo non è poi così scontata!
  
"
"2,0 su 5 stelle","







  
  
    Consegna perfetta. Il prodotto sarebbe ottimo se non fosse per una grandissima limitazione, ovvero che risulta possibile salvare le app unicamente sulla memoria interna e non sulla scheda sd. Pertanto la memoria rischia di essere presto interamente occupata. Davvero una brutta sorpresa.
  
"
"1,0 su 5 stelle","







  
  
    non è fatto per durareil vetro si è rotto dopo 1 giorno esatto con la caduta di un semplice accendino da altezza viso ad altezza toracetranne netflix ed un gioco per bambini non regge altre apple foto di fb si visualizzano sgranateacquisto inutile
  
"
"1,0 su 5 stelle","







  
  
    Il tablet non è male, ho avuto qualche piccolo problema con lo schermo,i video non si vedevano bene all inizio, però poi ho risolto... Il rapporto col venditore è davvero pessimo, poiché dopo 7 mesi il tablet non caricava più, quindi ho chiesto al venditore copia della fattura per portarlo a riparare poiche in garanzia, e il venditore non si è fatto sentire! (il tablet è arrivato senza ricevuta d acquisto). Lo sconsiglio!
  
"
"5,0 su 5 stelle","







  
  
     Cosa cercavo con questo acquisto? Un tablet economico e funzionale per navigare, leggere la posta, guardare foto e video, magari su netflix fuori casa. Questo tablet di Huawei si è rilevato il più indicato per rapporto qualità/prezzo. Perchè mi ha stupito? Perchè in questa fascia di prezzo (129 euro) attualmente non vi è concorrente che riesca ad offrire di meglio ed ora ti racconto il perchè:Cosa mi è piaciuto:- design e materiali impiegati: si percepisce la qualità dei materiali; il retro in alluminio garantisce davvero un'ottima presa e tramette solidità. Pulsanti e slot microsd ben fatti;- facilità d'uso e prestazioni: come tutti i prodotti che montano Android, si configura velocemente ed è subito pronto per essere utilizzato al meglio. Il comparto hardware di questo Tablet permette di utilizzarlo bene. La cpu consente di caricare tutte le tasks con discreta velocità ed anche in multitasking non cede. Sufficiente la ram se non si fa un uso esagerato delle app. In sostanza, tralasciando tutti i dettagli tecnici che si trovano ovunque, questa configurazione base, permette di utilizzare il tablet con efficacia;- autonomia: buona anche l'autonomia come di consueto su dispositivi Huawei;- schermo sufficientemente luminoso e dettagliato: la risoluzione non stupisce per definizione, ma consente di vedere bene;- peso e dimensioni nella media.Cosa mi è piaciuto di meno?per 129 euro assolutamente nessun difetto che potrei segnalare!  Un acquisto azzeccato se si cerca un tablet di fascia economica ed essenziale, che consente di fare tutto quello che serve per l’uso quotidiano.Spero che la mia esperienza ti sia stata UTILE! Ciao a tutti!!
  
"
"1,0 su 5 stelle","







  
  
    Cercavo un tablet a base Android per sostituire il mio iPad Air, e ho deciso di approfittare dell'offerta in corso per comprare questo.Non sono assolutamente soddisfatto. L'ottimizzazione della maggior parte delle app che utilizzo di solito è pessima, e in qualsiasi cosa risulta imbarazzantemente non fluido. Anche nella cosa più semplice, cioè l'utilizzo dei widget, riescono ad esserci problemi. Un esempio stupidissimo ma che rende l'idea? Il widget di ""ricerca rapida"" di Google, che è letteralmente ""morto"". Non esiste interazione, e una volta installato occupa solo spazio e non permette il normale utilizzo.Con una rapida ricerca online (bisogna però entrare nei vari forum specializzati) ci si renderà facilmente conto del problema alla base : l'interazione con il sistema Android e EMUI, che cozzano irrimediabilmente obbligando l'installazione di patch correttive - non ufficiali - e il downgrade di alcune app, cosa che non sono disposto assolutamente a fare per poter ottenere quelle che sono delle funzioni ""basic"" di qualsiasi tablet.A livello di visualizzazione rimane comunque notevole : Lo schermo è luminoso, e la qualità dell'immagine - testata con Netflix, NowTV, Infinity e Crunchyroll è eccellente, e mi sento di segnalarlo. Ma nel resto, purtroppo, fallisce miseramente. Probabilmente il nome stesso ( ""MEDIAPAD"" ) suggerisce che sia un prodotto mirato alla riproduzione di contenuti e non necessariamente progettato per essere ""tuttotondo"", però questo è quanto.E' stato il primo reso che ho chiesto da quando sono cliente Amazon. Mi dispiace un po', ma come detto, non sono disposto a ""scendere a patti"" con patch correttive e downgrade vari per poter ottenere quello che normalmente ci si aspetterebbe di poter ottenere da un tablet.
  
"
"1,0 su 5 stelle","







  
  
    PAgato 106 eu durante il black Friday, ma li vale tutti... in negativo ovviamente. Purtroppo su certi prodotti bisogna spendere di più se si vuole qualità, altrimenti meglio spendere i soldi in altro. Restituito subito.
  
"
"2,0 su 5 stelle","







  
  
    Dopo averlo provato per un mese, posso dire che non è un prodotto così buono come viene descritto. Prima di tutto la batteria, prima di questo avevo un Asus ZenPad 10 LTE e nonostante la stessa capacità di batteria (4000mA) l'asus mi durava qualche giorno usando anche lo schermo spesso con la luminosità alta e schermo FHD. Questo huawei purtroppo ci sta ben lontano come durata. Intanto la luminosità non è eccezionale e per usarlo in ambiente luminoso devo per forza portarlo al massimo, questo però si traduce in un assorbimento spropositato della batteria che usandolo sotto rete 4G navigando pochissimo e praticamente usando App di lettura e consultazione, nel giro di 2 ore scarse mi utilizza quasi un terzo della batteria, per non parlare se ci gioco o guardo video, nonostante tenga la luminosità bassa la batteria si fuma..... Totalmente insoddisfatto sotto questo aspetto.L'audio per contro è molto buono, sull'asus avevo il Dolby Digital che in stereo andava una bomba. Devo dire che l'huawei se la cava bene e si sente benissimo con una qualità buona e pulita anche se non proprio eccezionale come il Dolby.A livello hardware diciamo che essendo lo stesso del P10lite si traduce in un buon prodotto, veloce e performante per essere un tablet da 200€. Fluido e reattivo, lavora bene e le App si aprono e gestiscono in maniera pratica. Unico neo è l'impaginazione delle App che risulta grande e grossolana, in quanto le barre e le icone interne alle App risultano troppo grosse rispetto alla risoluzione dello schermo, e cosa veramente strana non è in nessun modo regolabile, il che risulta visivamente scomodo e poco pratico. Qualità costruttiva buona e solida. Possiede l'emui 8.1 che funziona bene anche se huawei personalmente non l'ho mai trovato davvero efficiente nella gestione interna della memoria e del software, ma comunque hanno fatto buoni progressi e adesso almeno funziona bene. Comunque personalmente non sono per niente soddisfatto del prodotto, speravo molto meglio dati i presupposti nelle ricerche che avevo fatto. Purtroppo credo che spenderò qualcosa di più e prenderò un device più efficiente.
  
"
"4,0 su 5 stelle","







  
  
    Un tablet molto a fuoco, considerando che si tratta di una fascia media, con un ottimo rapporto qualità-prezzo di cui sono sinceramente molto soddisfatto.CONTENUTINella scatola che, tra l'altro, ha un design molto semplice ma molto attraente, possiamo trovare:- 1 Tablet- 1 trasformatore USB Fast Charger- 1 Cavo USB a MicroUSB tipo c per la ricarica  e il trasferimento dati- 1 Accessorio per aprire lo scomparto della carta- 1 Guida rapida in varie lingue- 1 scheda di garanzia Start-upIl tablet viene impostato premendo il pulsante di accensione sul lato destro per un secondo. Pochi secondi appariranno il logo Huawei e le opzioni di configurazione iniziali che non sono molto diverse da quelle di qualsiasi altro dispositivo Android: Impostazioni account Google, Impostazioni di sicurezza, Registrazione di impronte digitali, Impostazioni account Huawei, ecc...Nel mio caso il tablet è venuto con 50% di carica sulla batteria, qualcosa che è apprezzato in modo da non dover aspettare una carica iniziale ed essere in grado di usarlo immediatamente. Mi ha anche chiesto di eseguire un aggiornamento che ho accettato e che ha avuto luogo in pochi minuti. Normalmente tutte le applicazioni preinstallate verranno aggiornate anche alla versione più recente.Il sistema operativo che porta è l'Android 8 Oreo sotto il livello EMUI 8 di Huawei. Tuttavia, a quanto ho capito, e soprattutto dopo la controversa situazione di Huawei al momento, questo tablet non riceverà l'aggiornamento per Android 9 o EMUI 9.DISPLAYLa prima cosa che mi colpisce è l'impressionante qualità del display, che, con la tecnologia IPS, può essere visualizzato perfettamente da qualsiasi angolazione senza oscurare l'immagine, anche in ambienti luminosi come la luce solare.Ho provato a visualizzare immagini, video di YouTube e persino film in FullHD e la qualità delle immagini è davvero incredibile.SUONOIl tablet ha quattro altoparlanti, due in alto e due in basso, di Harman Kardon. Per coloro che non sono strettamente legati al mondo del suono professionale, questo nome suonerà cinese. Ma Harman Kardon è un marchio molto riconosciuto di altoparlanti professionali e, in questo caso, non è stato meno.Tieni presente che stiamo parlando di un tablet e quindi gli altoparlanti non possono dare un suono come quello di un computer professionale, soprattutto a causa delle dimensioni. Tuttavia, c'è molta differenza tra il suono di questo tablet e quello di altri dispositivi simili, avendo questa qualità e potenza molto più del solito in questi casi.VELOCITÀL'uso che faccio (e lo farò) del tablet non richiede un'elevata velocità di elaborazione. Viaggio molto per motivi di lavoro e quello che mi interessava di più è stato un tablet per controllare la mia email, gestire i documenti utilizzando la suite Google, navigare in internet, ascoltare musica e, soprattutto, guardare serie e film. Dopo aver installato tutte le applicazioni necessarie ho verificato che questo tablet risponde perfettamente, fluentemente ed efficientemente, a tutte le mie esigenze grazie ai 3072MB di RAM, al processore Huawei Kirin a 2.36GHz e alla grafica Octa-Core dedicata che questo modello ha. Tuttavia, anche se non è qualcosa che uso di solito, ho scaricato alcuni giochi (avventure grafiche, che richiedono molte più risorse) semplicemente per testare le prestazioni e il risultato è stato anche molto soddisfacente.AUTONOMIAQuesto è un altro aspetto che mi ha sorpreso un bel po '.Il tablet ha una ricarica rapida e una volta caricato, grazie ai suoi 7500 mAh, fornisce una buona autonomia più che sufficiente per l'uso convenzionale per un'intera giornata.Quando abbiamo acquistato un nuovo dispositivo, i primi giorni sono quando lo usiamo di più, perché vogliamo provare molte cose , ad es. configurarlo a nostro piacimento, ecc... Con il 50% di carica con cui è arrivato dalla fabbrica, è durato tutto il pomeriggio dopo aver provato giochi , testato film e personalizzato l'interfaccia. Il secondo giorno l'ho caricato completamente e per tutta la settimana successiva è stato usato moderatamente senza doverlo ricaricare. È possibile riprodurre video costantemente con un'autonomia di circa 8-9 ore.CAMERAHa fotocamera anteriore e fotocamera posteriore con un «pochi» 8 Mp ciascuno. È vero che questa non è una caratteristica che evidenzia questo modello, tuttavia è anche vero che l'utilità che possiamo dare alla fotocamera di un tablet non è così importante come quelle di uno smartphone. Queste fotocamere sono ideali per effettuare videochiamate, per fotografare un documento, per la scansione di un codice QR e «non male» per fare fotografie convenzionali, ma la qualità è abbastanza inferiore alla fotocamera che porta oggi qualsiasi smartphone medio/high-end.Spettacolare sensore di impronte digitali. Come con altri dispositivi Huawei che ho, è una buona caratteristica di questo tablet, e la verità è che è molto utile poter accedere praticamente immediatamente, senza password, senza schemi, semplicemente posizionando il dito sul sensore biometrico che, a proposito, non è un pulsante fisico. Anche se ha una fessura intorno per localizzarla facilmente, è una superficie completamente touch che oltre a riconoscere l'impronta digitale serve anche a fare altre cose come «tornare indietro», «tornare alla schermata principale» o «andare al gestore applicazioni».STUDIOIl tablet dispone di un generoso 32 GB di memoria interna. Questa capacità dovrebbe essere sufficiente per l'uso convenzionale del tablet. Tuttavia, dall'uso che ho intenzione di dargli, è un po' limitata per me. La cosa buona è che il tablet ha la possibilità di espandere la capacità di archiviazione utilizzando una scheda microSD esterna fino a 256 GB.CONNESSIONE USBLa connessione che questo tablet ha è Type-C che è sempre più in forte espansione. Accetta connettività di memoria esterna Type-C senza problemi.CONNESSIONE WIFIQui abbiamo una connessione 2,4 ghz, una connessione 5 ghz ad alta velocità, ideale se si dispone di un router compatibile per ottenere il massimo dalla fibra ottica.Ho a casa 400 Mbps fibra ottica simmetrica. Facendo un test di velocità sul tablet ho raggiunto un picco di 250 Mbps, sia nel caricamento che nel download dei dati.DESIGNMi piace. Il design del tablet è molto bello e molto leggero. Ero abituato al peso di un altro dispositivo simile che avevo, molto più vecchio, e sono rimasto molto sorpreso dalla differenza di peso che esiste tra i due, avendo il Huawei molta più autonomia rispetto al precedente. Sottolineo questa parte perché la cosa logica è che il peso è legato alla batteria interna e ha un impatto sull'autonomia. Tuttavia, questo tablet, per quanto leggero sia, sembra avere una batteria più piccola rispetto al suo peso.SINTESIPRO- Funzionamento corretto.- Ricarica rapida.- Connessione USB Type-C.- Buon display IPS.- Suono eccellente.- Sensore di impronte digitali molto efficace.- Ottima autonomia.- Molto sottile e leggero- 5Ghz WiFi (alta velocità).CONTRO- Non ha uscita HDMI.- Non verrà aggiornato ad Android 9.Valutare questi tipi di dispositivi non è facile perché ognuno fa un uso diverso del tablet, ognuno ha gusti e bisogni diversi, e non è possibile colpire con una serie di caratteristiche che soddisfano tutti allo stesso modo. Nel mio caso sono molto soddisfatto dell'esperienza. Penso che sia un tablet equilibrato che serve un po' per tutto e, naturalmente, per me, soddisfa ciò di cui ho bisogno. Se dovessi scegliere di comprare un nuovo tablet, oggi, lo comprerei di nuovo per il suo eccellente rapporto qualità/prezzo. Spero che la mia recensione ti abbia aiutato se stai pensando di acquistare un tablet o cambiare quello che hai.
  
"
"1,0 su 5 stelle","







  
  
    Di una lentezza inenarrabile!! Uno schifo totale, processore vecchissimo non all'altezza degli aggiornamenti, il semplice scroll di un sito diventa un'impresa, lag, freeze, scatti e rallentamenti continui... Mai più Huawei
  
"
