stars,comment
"1,0 su 5 stelle","







  
  
    I pettini che servirebbero a regolare il taglio della barba sono perfettamente inutili.Non permette né di tenere una barba sufficientemente lunga (di una settimana/dieci giorni, per esempio), né di rasarsi bene (il risultato è mediocre rispetto alle classiche lamette).
  
"
"4,0 su 5 stelle","







  
  
     Voglio allegare un video alla mia recensione in modo che possiate constatare voi stessi l'efficacia di questo prodotto.Ho acquistato il prodotto il 24 Novembre del 2017 e ad oggi lo uso ancora ogni tre giorni per radermi.Dopo quasi tre anni di utilizzo ricarico la batteria all'incirca dopo 5 rasature. Le lamette come da istruzioni vanno cambiate ogni 4 mesi, ma questo cambia a seconda della barba che vi trovate. Anche le prestazioni del rasoio variano a secondo della tipologia di barba che avete: crespa, morbida, ispida, questo fattore sarà fondamentale, ma non disperate, basterà fare qualche passata in più.- Resistente all'acqua: Ho utilizzato One Blade anche sotto la doccia per radermi il corpo e lavora molto bene, non ho avuto mai problemi per quanto riguarda l'umidità nel connettore o altro.- Con schiuma da barba o senza? One Blade è stato studiato per essere utilizzato in entrambi i modi, per cui questa sarà una vostra scelta a secondo di come vi trovate. Io ho provato in entrambi i modi e mi trovo meglio con la rasatura a secco.Vi invito a guardare il video che allego per constatare il potenziale di questo rasoio elettrico con cui mi rado da 3 anni.PULIZIA RASOIO - Essendo impermeabile lo sciacquo sotto l'acqua corrente, ovviamente aspetto che asciughi prima di ricaricarlo. Nel video allegato, a fine rasatura riprendo mentre lo passo sotto l'acqua.
  
"
"3,0 su 5 stelle","







  
  
    Per 29 € è sicuramente un buon prodotto, ma voglio soffermarmi su questa nuova tipologia di lama, a prescindere dalla marca e dal modello in particolare. Dovrebbe consentire sia la rasatura che la regolazione e la rifinitura della barba. Che dire, fa effettivamente tutte queste cose ma non eccelle in nessuna. Rade ma non come un rasoio a lamine rotanti, accorcia ma non come un buon regolabarba.Inoltre mi aspettavo una maggiore ergonomia nel definire la linea della barba, ma forse si tratta di farci la mano..Le cose da valutare:- le lamette vanno sostituite ogni 4 mesi secondo Philips (35 rasature) e costano quasi 15€, quindi sono circa 45€ l'anno- la rasatura non è paragonabile ad un rasoio elettrico a lamine rotanti- buono per accorciare la barba.Inoltre è molto rumoroso...In conclusione, secondo la mia personale esperienza, è preferibile acquistare un buon regolabarba tradizionale affiancandogli un rifinitore a lamina...Per chi invece ha il problema delle irritazioni anche con il rasoio a testine rotanti, ma vuole comunque radersi quotidianamente accontentandosi di una rasatura meno profonda, può essere la scelta giusta.
  
"
"4,0 su 5 stelle","







  
  
    Buon rapporto qualità prezzo, ci si porta a casa un buon prodotto senza spendere cifre esagerate, ovviamente con dei compromessi. Uno di questi compromessi è la rasatura liscia in quanto non è molto buona, non raggiunge bene la base del pelo, ma in compenso non irrita. Mentre è buono per chi vuole tenere la barba e regolarla, infatti vengo dati in confezione 3 regolatori molti utili a tale scopo. Un pregio non da poco è la durata della lama, veramente affilata per molti tagli e anche la durata della batteria, che ricaricherete veramente poche volte, ma purtroppo quando collegato alla presa elettrica il rasoio non è utilizzabile. Più che soddisfatto dato la spesa e quello che ci si porta a casa, però lo sconsiglio a chi cerca un prodotto per radersi a zero
  
"
"5,0 su 5 stelle","







  
  
    Ero da tempo alla ricerca di un rasoio di facile utilizzo, che non costasse una fortuna ma che facesse comunque bene il suo dovere. Dopo un classico Braun a testa basculante che non riesce a tagliare la mia barba sottile e obliqua, se non dopo ripetuti passaggi e conseguente irritazione della pelle del collo, mi sono imbattuto per caso in un video su YouTube dove veniva provato questo Phlilips OneBlade. Benchè poco fiducioso, ho deciso di prenderlo lo stesso... e ne sono entusiasta! Rasa come il bilama tradizionale, ma nei due versi senza obbligare a strane manovre con il polso, la lama è solida e credo che durerà molti mesi. E' lavabile sotto l'acqua e di semplice smontaggio per la pulizia. Permette anche di disegnare bene la barba e di regolarne la lunghezza con gli accessori inclusi nella confezione. Lo consiglio a chi desidera farsi barbe frequenti, senza perdere troppo tempo. Utilizzando una crema pre-barba il risultato è eccezionale1
  
"
"5,0 su 5 stelle","







  
  
    Utilizzo questo prodotto da 1 mese ormai . Premetto che lo utilizzo per radermi la testa e quindi lo uso come “taglia capelli”. Funziona davvero molto bene la rasatura è al pari di una lametta di qualità ma molto più veloce e sicuro . Il consumo della lama è un punto di domanda perché il costruttore dichiara 4 mesi di autonomia ma ho dovuto sostituirla dopo 5 tagli (ripeto rasatura testa completa) forse però trattandosi della testina in dotazione potrebbe non essere una versione normale bensì di prova . Il prodotto si pulisce con l’acqua essendo impermeabile, si può utilizzare la a schiuma da barba, qualora ne sentiate la necessità e la durata della batteria e notevole . Non mi e successo di rimanere a piedi . I ricambi delle testine costano 20 euro circa per 2 lame quindi per una autonomia di 4/5 mesi  (per chi usa il prodotto come me). Gli accessori aggiuntivi non li ho ancora utilizzati essendo più indicato per tagli di precisione ma sono sicuro che funzionano bene basta prenderci la mano.
  
"
"5,0 su 5 stelle","







  
  
    Ho acquistato questo prodotto principalmente per il corpo e devo dire che svolge egregiamente il suo lavoro, finalmente ho trovato un rasoio che non irrita la pelle durante e a fine rasatura lasciando la pelle liscia.La rasatura equivale ad una lametta davvero sono rimasto senza parole perché non mi aspettavo una rasatura simile.... di solito ci si aspetta una rasatura non tanto profonda e accurata ma in questo caso la rasatura è perfetta.come già detto in precedenza  il mio utilizzo è prevalentemente per la rasatura del corpo la quale dal mio punto di vista è PERFETTA quindi se state cercando un rasoio per questo scopo lo consiglio
  
"
"3,0 su 5 stelle","







  
  
    ottimo prodotto devo dire la verità i rasoi che fino a ora avevo preso li ho buttati, ma come tutte le medaglie ha un rovescio...la lama.. non capisco le persone che scrivono che dura 4 mesi... forse perchè lo usano una volta al mese...ribadisco sono pienamente soddisfatto del prodotto e non mi importa se devo cambiare lama ogni 4-5 rasature, ma mi sembra giusto avvisare. poi  uno la può utilizzare anche 50 volte la lama, ma non rade come prima ti costringe a continue passate e il tempo per radere o tagliare i capelli aumenta in maniera esponenziale .
  
"
"5,0 su 5 stelle","







  
  
    Articolo arrivato nei tempi. Ottimo rasoio, pratico, leggero e funzionale, esegue rasature di precisione in entrambi le direzioni lo si usa. Il rasoio dispone di una lama di ricambio e di tre rialzi regolabarba per eseguire rasature di diverse misure da 1 mm, 3 mm e 5 mm mentre senza rialzo esegue rasature a pelle. Il rasoio scorre facilmente e delicatamente sulla pelle del viso senza lasciare irritazioni. Può essere usato sotto la doccia e risciacquato sotto l'acqua corrente. Una volta caricato tramite il caricabatterie, la casa garantisce circa 45 minuti di utilizzo continuo. Io normalmente impiego circa 15 - 20 minuti per effettuare una rasatura e dopo averlo caricato la prima volta l'ho usato perfettamente gia tre volte senza  registrare nessun calo di prestazione. Per il momento sono pienamente soddisfatto di questo acquisto visto anche il costo non troppo oneroso.
  
"
"5,0 su 5 stelle","







  
  
    L'ho preso con la giusta dose di scetticismo, ma ho dovuto ricredermi...non solo la rasatura è molto precisa, ma da anche un ottimo risultato senza irritare praticamente mai la pelle. Io lo consiglio assolutamente come regolabarba, la batteria ha un'ottima autonomia.Nella versione da me acquistata era presenteIl onebladeTestina di ricambio3 pettini regolabarbaCaricabatterie
  
"
