stars,comment
"4,0 su 5 stelle","







  
  
    La borraccia si presenta davvero bene ed i colori sono brillanti proprio come in foto, io ne ho prese due 500 ml e 750 ml, la capienza però è da considerarsi colma fino all’orlo, quindi se si vuole chiudere il tappo bisogna considerare qualche ml in meno. Questa arriva in una scatola abbastanza spartana e senza l’indicazione dell’origine di produzione. All’interno della confezione è presente:1. La borraccia;2. 1 tappo con beccuccio;3. 1 tappo in bambù per usare la borraccia come thermos;4. due cannule in plastica;5. uno scovino per pulire le cannule (utile specialmente se si usa la borraccia per succhi di frutta o simili);6. una sacca in neoprene, con relativa tracolla e moschettone per appendere la borraccia a zaini, cinture o altro;7. un manuale d’uso in inglese.Anche se non esplicitamente riportato, sicuramente è made in China, anche perché la società ha sede in China. Ciononostante, la borraccia è di buona qualità e assolve al suo scopo ad un prezzo relativamente onesto. L’ho provata per diversi giorni e posso dire che conserva bene i liquidi sia caldi che freddi, ovviamente se si desidera conservare le bevande fredde per 24 ore, come pubblicizzato, bisognerà aggiungere del ghiaccio all’interno ed inserire la borraccia nella sacca in dotazione. Unica pecca il beccuccio troppo stretto che rende l’aspirazione del liquido un po’ difficoltoso.A puro titolo di facilitazione riporto una traduzione del manuale in dotazione, considerate però che il mio inglese non è eccelso:1. si prega di bere con cura per evitare scottature;2. tenere lontano dalla portata dei bambini quando la tazza / bottiglia contiene liquidi caldi, per evitare di scottarsi;3. non posizionare il prodotto accanto a fonti di alta temperatura per evitare il deformarsi del prodotto, il cambio del colore o il distacco della vernice;4. non mettere il prodotto in acqua bollente, che provocherà deformazioni o perdite;5. accertarsi sempre che l'anello di tenuta in silicone sia fissato correttamente dopo ogni pulizia, in caso contrario potrebbe causare perdite, ancora più scottature;6. non utilizzare detergenti abrasivi, lavaggi o candeggianti contenenti cloro, in quanto possono intaccare o sbiadire le finiture;7. non collocare il prodotto in forno, forno a microonde, asciugatrice ect;8. non conservare i seguenti elementi in questa tazza / bottiglia;- ghiaccio secco e bevanda gassata. ( il coperchio sarà difficile da aprire a causa dell’elevata pressione d'aria e può causare un espulsione con forza);- Il latte, il succo di frutta o altri liquidi che si rovinano facilmente non dovrebbero essere conservati nella tazza / bottiglia per periodi prolungati in quanto potrebbero rovinarsi.Spero che la recensione sia stata utile, in tal caso il voto è gradito. Grazie anticipatamente.
  
"
"5,0 su 5 stelle","







  
  
    Io ne ho comprate 4, 1a l'ho regalata, e anche chi l'ha ricevuta è stato entusiasta! Bella esteticamente, funzionale. La grandezza che vedete è da 500ml. Colori belli satinati, il viola è un po' più scuro di come me lo immaginavo, l'arancione un po' più chiaro il verde meno acceso, ma solo molto belle ugualmente. Noi a casa usiamo il tappo da cannuccia senza la cannuccia...perché l'acqua scorre anche meglio. Mia figlia la tiene persino sul comodino per bere di notte e trovarsi comunque l'acqua fresca. Io la usa per il tennis, mio marito per la bici. La porterò sempre dietro anche in vacanza!! Addio bottiglie di plastica...Ho letto recensioni che parlavano di fuori uscite di liquidi dopo l'uso prolungato. Questo non mi è ancora successo, ma ho visto che esiste in commercio il tappo di ricambio, per cui se dovesse un po' cedere la guarnizione, lo cambierei. Bell'acquisto!!
  
"
"5,0 su 5 stelle","







  
  
    La sto usando ovunque, al mare, nelle piccole gite, talvolta anche quando vado al supermercato, per i miei due bambini sempre assetati. Sempre fresca!La custodia termica che permette anche l'uso a tracolla è ottima, e i due ""tappi"" in dotazione permettono di utilizzare differentemente la borraccia a seconda dell'attività.I miei bambini ovviamente preferiscono il beccuccio che si solleva.Forse un pò pesante da portare a spalla a lungo e piena ma ho preso la borraccia da 750 ml, penso che il solo peso del contenuto sia già importante.Quest'inverno la testerò in ufficio, con qualche tisana calda.
  
"
"5,0 su 5 stelle","







  
  
    La adoro! Mi ero messa in testa che queste bottiglie termiche fossero mediamente un bidone a meno che non si scegliesse quelle di marca. Per niente. Questa funziona benissimo per l'uso che ne ho fatto finora (mantenere caldo il tè). I termos che ho in casa sono obsoleti. Le bevande non sanno affatto di metallo, la tenuta del tappo è impeccabile, l'estetica gradevole e la bevanda rimane calda per ore. A questo proposito un consiglio: se ci mettete dentro bevande molto calde, tenete conto che dovrete far passare ore e ore prima di riuscire a berle. Rischiate davvero di scottarvi anche dopo qualche ora. Meglio far intiepidire un po' la bevanda prima di riempire la bottiglia.
  
"
"5,0 su 5 stelle","







  
  
    Bella e funzionale, molto soddisfatta dell'acquisto!Ho azzerato l'uso delle bottiglie di plastica. Anche con molto caldo le bevande restano fredde per molte ore
  
"
"5,0 su 5 stelle","







  
  
    Borraccia davvero ottima, la grandezza e il diametro perfetto per entrare nei porta borracce delle MTB! Tiene molto bene fredda la bevanda come detto in descrizione, purtroppo però data la stagione ancora non ho sperimentato come tiene il caldo, ma se ha funzionato in un modo, funzionerà adeguatamente anche nell'altro. Prezzo leggermente altino a mio modesto parere, ma il prodotto vale assolutamente la spesa. In dotazione poi anche un gancio, due tappi diversi, le cannucce, lo scovolino e una ""cover"" per attaccare il gancio. Assolutamente promosso e da consigliare.
  
"
"5,0 su 5 stelle","







  
  
    Acquistata per escursioni (trekking e piccole arrampicate) mi sto trovando davvero molto bene: il prezzo è buono e, rispetto ad altri prodotti che ho acquistato, fa davvero un'ottimo lavoro nel mantenere la bevanda calda o fredda.Poco importante ma che non guasta è l'estetica, veramente molto bella anche nei dettagli.Viene venduta con gli accessori come da descrizione, molto utile la tracolla e il tappo con cannuccia ripiegatile per poter bere senza dover svitare il tappo (in alcune situazione veramente una feature importante).Consiglio l'acquisto senza nessun dubbio.
  
"
"5,0 su 5 stelle","







  
  
    Il prodotto ha risposto alle mie aspettative, unico neo ma dovuto ad un mio errore è la grandezza, 1 l.  è troppo grande per la mia bici.
  
"
"1,0 su 5 stelle","







  
  
    Aspetto sempre prima di fare una recensione, perché  i prodotti vanno valutati nel tempo.Per carità, lasciate stare!Dopo qualche tempo comincia a perdere pezzi del materiale interno (che non so cosa sia!) con la conseguenza che ve li berrete!Buttato viaSconsigliatissimo
  
"
"2,0 su 5 stelle","







  
  
    Qualità eccezionale, vale veramente il prezzo. Ottima fattura e rifiniture, design molto carino. Accessori molto utili, l’attenzione per il dettaglio è davvero evidente. Le bevande conservano la loro freschezza e il sapore originale, non assumono alcun odore o sapore sgradevole. L’unica cosa che mi dispiace è che il colore che ho scelto non era disponibile per il formato da 1 litro.Aggiornamento: dopo soli due mesi il beccuccio ha cominciato a non sigillarsi più. Si apriva in borsa e ho dovuto accantonarlo.Ho allora cominciato ad utilizzare il tappo normale, credevo di stare tranquilla... Dopo un altro paio di mesi, anche questo ha cominciato a cedere, credo la guarnizione.Risultato: ho una borraccia che ho pagato 20 euro ed una borsa della palestra perennemente inondata: tutto fradicio, ogni singola volta, e pochissima acqua: la riempio a casa per 750 ml, finisco a berne 400 ml.Un vero peccato perchè davvero i materiali sono eccezionali ed è molto curata, ma ha chiaramente dei difetti di progettazione, chiederò una sostituzione o un rimborso.
  
"
